Filename,Governing Law-Answer,lat,lng,isMissing,AgreementDate,documentName,parties,expirationDate,renewalTerm,noticePeriod,toc,isExpDateMissing,isRenewalTermMissing,isNoticePeriodMissing,isTOC,party1,party2,network
EtonPharmaceuticalsInc_20191114,Delaware,40.2866,-83.0747,True,2019-06-12,EXCLUSIVE LICENSE AND PRODUCT DEVELOPMENT AGREEMENT,"Eton Pharmaceuticals, Inc. (“ETON”); Aucta Pharmaceuticals, Inc.(“Aucta”)",Perpetual,,,Yes,False,True,True,True,"Eton Pharmaceuticals, Inc. (“ETON”)"," Aucta Pharmaceuticals, Inc.(“Aucta”)","{""nodes"": [{""id"": 10, ""name"": ""EtonPharmaceuticalsInc_20191114""}, {""id"": 14, ""name"": ""GentechHoldingsInc_20190808""}, {""id"": 222, ""name"": ""VEONEER,INC_02""}, {""id"": 339, ""name"": ""DIVERSINETCORP_03""}, {""id"": 159, ""name"": ""VITAMINSHOPPECOMINC_09""}, {""id"": 32, ""name"": ""NeuroboPharmaceuticalsInc_20190903""}, {""id"": 157, ""name"": ""HYDRONTECHNOLOGIESINC_03""}], ""links"": [{""source"": 32, ""target"": 222}, {""source"": 157, ""target"": 159}, {""source"": 159, ""target"": 222}, {""source"": 159, ""target"": 157}, {""source"": 32, ""target"": 10}, {""source"": 32, ""target"": 10}, {""source"": 10, ""target"": 159}, {""source"": 10, ""target"": 14}, {""source"": 14, ""target"": 32}]}"
FuelcellEnergyInc_20191106,New York,40.6943,-73.9249,True,2019-11-05,JOINT DEVELOPMENT AGREEMENT,"ExxonMobil Research and Engineering Company (“ExxonMobil”); FuelCell Energy, Inc. (“FCE”)",10/31/2021,,,Yes,False,True,True,True,ExxonMobil Research and Engineering Company (“ExxonMobil”)," FuelCell Energy, Inc. (“FCE”)","{""nodes"": [{""id"": 11, ""name"": ""FuelcellEnergyInc_20191106""}, {""id"": 192, ""name"": ""BERKELEYLIGHTS,INC_06""}, {""id"": 48, ""name"": ""IntegrityFunds_20200121""}, {""id"": 169, ""name"": ""MANUFACTURERSSERVICESLTD_06""}, {""id"": 271, ""name"": ""ZEBRATECHNOLOGIESCORP_04""}, {""id"": 288, ""name"": ""HOLIDAYRVSUPERSTORESINC_04""}, {""id"": 302, ""name"": ""CORIOINC_07""}], ""links"": [{""source"": 192, ""target"": 11}, {""source"": 302, ""target"": 11}, {""source"": 11, ""target"": 169}, {""source"": 288, ""target"": 48}, {""source"": 192, ""target"": 302}, {""source"": 48, ""target"": 271}, {""source"": 11, ""target"": 169}]}"
ReedsInc_20191113,New York,40.6943,-73.9249,True,2019-10-11,RECIPE DEVELOPMENT AGREEMENT,"Reed's, Inc. (""Reed's""); BC Marketing Concepts Inc., dba Full Sail Brewing Company (""Company"")",,,,No,True,True,True,False,"Reed's, Inc. (""Reed's"")"," BC Marketing Concepts Inc., dba Full Sail Brewing Company (""Company"")","{""nodes"": [{""id"": 12, ""name"": ""ReedsInc_20191113""}, {""id"": 219, ""name"": ""Quaker Chemical Corporation - NON COMPETITION AND NON SOLICITATION AGREEMENT.PDF""}, {""id"": 148, ""name"": ""STAMPSCOMINC_06""}, {""id"": 46, ""name"": ""IpassInc_20181203""}, {""id"": 338, ""name"": ""VNUE,INC_07""}, {""id"": 99, ""name"": ""MidwestEnergyEmissionsCorp_20080604""}, {""id"": 175, ""name"": ""AzulSa_20170303""}], ""links"": [{""source"": 219, ""target"": 46}, {""source"": 99, ""target"": 175}, {""source"": 338, ""target"": 148}, {""source"": 148, ""target"": 338}, {""source"": 148, ""target"": 175}]}"
FuseMedicalInc_20190321,Ohio,40.5425,-80.0926,False,2018-03-29,Distributorship agreement,"Signature Orthopaedics Pty Ltd; CPM Medical Consultants, LLC",3/29/2019,perpetual,12 months,No,False,False,False,False,Signature Orthopaedics Pty Ltd," CPM Medical Consultants, LLC","{""nodes"": [{""id"": 13, ""name"": ""FuseMedicalInc_20190321""}, {""id"": 282, ""name"": ""VISIUMTECHNOLOGIES,INC_10""}, {""id"": 119, ""name"": ""DRIVENDELIVERIES,INC_05""}, {""id"": 244, ""name"": ""KALLOINC_11""}, {""id"": 268, ""name"": ""MSCIINC_02""}, {""id"": 194, ""name"": ""MIDDLEBROOKPHARMACEUTICALS,INC_03""}, {""id"": 145, ""name"": ""GAINSCOINC_01""}], ""links"": [{""source"": 282, ""target"": 194}, {""source"": 194, ""target"": 282}, {""source"": 145, ""target"": 194}, {""source"": 268, ""target"": 244}, {""source"": 244, ""target"": 282}, {""source"": 268, ""target"": 13}, {""source"": 119, ""target"": 268}, {""source"": 145, ""target"": 194}, {""source"": 145, ""target"": 244}]}"
GentechHoldingsInc_20190808,Florida,-34.1,-56.2167,True,2019-08-01,DISTRIBUTOR AGREEMENT,"B & C General Warehouse Corporation LLC (""Company""); XXXXXXXXXXXXXXXXXXXXX (""Distributor"")",8/1/2022,3 years,,No,False,False,True,False,"B & C General Warehouse Corporation LLC (""Company"")"," XXXXXXXXXXXXXXXXXXXXX (""Distributor"")","{""nodes"": [{""id"": 14, ""name"": ""GentechHoldingsInc_20190808""}, {""id"": 38, ""name"": ""FerroglobePlc_20150624""}, {""id"": 320, ""name"": ""VARIABLESEPARATEACCOUNT_04""}, {""id"": 178, ""name"": ""MEDIWOUNDLTD_01""}, {""id"": 278, ""name"": ""HYPERIONSOFTWARECORP_09""}, {""id"": 247, ""name"": ""TURNKEYCAPITAL,INC_07""}, {""id"": 106, ""name"": ""SmartRxSystemsInc_20180914""}], ""links"": [{""source"": 247, ""target"": 278}, {""source"": 278, ""target"": 106}, {""source"": 178, ""target"": 38}, {""source"": 106, ""target"": 38}, {""source"": 247, ""target"": 14}]}"
ImineCorp_20180725,Indiana,40.622,-79.1552,True,2018-07-19,NON-EXCLUSIVE DISTRIBUTOR AGREEMENT,"iMine Corporation (""JRVS""); SUNWAI Technology (""Distributor"")",7/19/2020,,,Yes,False,True,True,True,"iMine Corporation (""JRVS"")"," SUNWAI Technology (""Distributor"")","{""nodes"": [{""id"": 15, ""name"": ""ImineCorp_20180725""}, {""id"": 154, ""name"": ""IVILLAGEINC_03""}, {""id"": 170, ""name"": ""NEXSTARFINANCEHOLDINGSINC_03""}, {""id"": 326, ""name"": ""LECLANCHÉ S.A. - JOINT DEVELOPMENT AND MARKETING AGREEMENT.PDF""}, {""id"": 21, ""name"": ""VitalibisInc_20180316""}, {""id"": 93, ""name"": ""RevolutionMedicinesInc_20200117""}, {""id"": 166, ""name"": ""OFGBANCORP_03""}], ""links"": [{""source"": 15, ""target"": 166}, {""source"": 170, ""target"": 154}, {""source"": 21, ""target"": 170}, {""source"": 166, ""target"": 170}, {""source"": 15, ""target"": 166}, {""source"": 326, ""target"": 166}]}"
WaterNowInc_20191120,Texas,32.7936,-96.7662,False,2019-11-12,EXCLUSIVE DISTRIBUTOR AGREEMENT,"WATER NOW, INC.; (""Water Now""); Hydraspin USA, Inc. (""Subsidiary"", collectively with Water Now, ""Hydraspin""); BESTEV MANAGEMENT, LLC (""Distributor""); Hydraspin and Distributor (“Party” and collectively as the “Parties.”)",11/12/2024,successive 5 year,120 days,No,False,False,False,False,"WATER NOW, INC."," (""Water Now"")","{""nodes"": [{""id"": 16, ""name"": ""WaterNowInc_20191120""}, {""id"": 309, ""name"": ""PRIMEENERGYRESOURCESCORP_04""}, {""id"": 307, ""name"": ""Sonos, Inc. - Manufacturing Agreement .PDF""}, {""id"": 21, ""name"": ""VitalibisInc_20180316""}, {""id"": 320, ""name"": ""VARIABLESEPARATEACCOUNT_04""}, {""id"": 285, ""name"": ""MARTINMIDSTREAMPARTNERSLP_01""}, {""id"": 249, ""name"": ""WASTE2ENERGYHOLDINGS,INC_06""}], ""links"": [{""source"": 320, ""target"": 285}, {""source"": 307, ""target"": 21}, {""source"": 307, ""target"": 320}, {""source"": 249, ""target"": 16}, {""source"": 21, ""target"": 320}, {""source"": 21, ""target"": 320}, {""source"": 21, ""target"": 16}]}"
EcoScienceSolutionsInc_20171117,Michigan,42.3834,-83.1024,False,2017-11-14,ENDORSEMENT AGREEMENT,"Eco Science Solutions, Inc (""ESSI""); Stephen Marley (""Talent"")",11/14/2018,successive 1 year,30 days,No,False,False,False,False,"Eco Science Solutions, Inc (""ESSI"")"," Stephen Marley (""Talent"")","{""nodes"": [{""id"": 17, ""name"": ""EcoScienceSolutionsInc_20171117""}, {""id"": 181, ""name"": ""GRIDIRONBIONUTRIENTS,INC_02""}, {""id"": 207, ""name"": ""KINGPHARMACEUTICALSINC_08""}, {""id"": 236, ""name"": ""GIGGLESN_HUGS,INC""}, {""id"": 169, ""name"": ""MANUFACTURERSSERVICESLTD_06""}, {""id"": 320, ""name"": ""VARIABLESEPARATEACCOUNT_04""}, {""id"": 157, ""name"": ""HYDRONTECHNOLOGIESINC_03""}], ""links"": [{""source"": 320, ""target"": 236}, {""source"": 181, ""target"": 157}, {""source"": 320, ""target"": 169}, {""source"": 157, ""target"": 236}, {""source"": 181, ""target"": 17}, {""source"": 236, ""target"": 169}]}"
NakedBrandGroupInc_20150731,New York,40.6943,-73.9249,True,2015-06-15,COLLABORATION & ENDORSEMENT AGREEMENT,"The Naked Brands Group, Inc (""Naked""); Wade Enterprises, LLC (""Wade Enterprises""); f/s/o Dwayne Wade (""Athlete"" and together with Wade Enterprises (collectively, ""Wade""); Wade Enterprises, Athlete and togetherwith Naked, (“Party” and collectively, the “Parties”)",6/15/2019,three (3) years,,No,False,False,True,False,"The Naked Brands Group, Inc (""Naked"")"," Wade Enterprises, LLC (""Wade Enterprises"")","{""nodes"": [{""id"": 18, ""name"": ""NakedBrandGroupInc_20150731""}, {""id"": 215, ""name"": ""WESTERN COPPER - NON-COMPETITION AGREEMENT.PDF""}, {""id"": 227, ""name"": ""BIOPURECORP_06""}, {""id"": 312, ""name"": ""SFGFINANCIALCORP_05""}, {""id"": 53, ""name"": ""FreezeTagInc_20180411""}, {""id"": 342, ""name"": ""ULTRAGENYXPHARMACEUTICALINC_12""}, {""id"": 268, ""name"": ""MSCIINC_02""}], ""links"": [{""source"": 312, ""target"": 53}, {""source"": 312, ""target"": 268}, {""source"": 312, ""target"": 227}, {""source"": 18, ""target"": 312}, {""source"": 227, ""target"": 312}, {""source"": 18, ""target"": 227}]}"
SimplicityEsportsGamingCompany_20181130,New York,40.6943,-73.9249,True,2018-11-20,MASTER FRANCHISE AGREEMENT,"Smaaash Entertainment Private Limited (""Franchisor""); I-AM Capital Acquisition Company (""Franchise"")",perpetual,,,No,False,True,True,False,"Smaaash Entertainment Private Limited (""Franchisor"")"," I-AM Capital Acquisition Company (""Franchise"")","{""nodes"": [{""id"": 19, ""name"": ""SimplicityEsportsGamingCompany_20181130""}, {""id"": 243, ""name"": ""REWALKROBOTICSLTD_07""}, {""id"": 119, ""name"": ""DRIVENDELIVERIES,INC_05""}, {""id"": 87, ""name"": ""EmeraldHealthBioceuticalsInc_20200218""}, {""id"": 179, ""name"": ""SEASPINEHOLDINGSCORP_10""}, {""id"": 187, ""name"": ""MPLXLP_06""}, {""id"": 289, ""name"": ""MARSHALLHOLDINGSINTERNATIONAL,INC_04""}], ""links"": [{""source"": 243, ""target"": 87}, {""source"": 243, ""target"": 179}, {""source"": 19, ""target"": 179}, {""source"": 243, ""target"": 289}, {""source"": 179, ""target"": 289}]}"
PareteumCorp_20081001,Netherlands,52.3667,4.8833,True,2008-09-18,MOBILE VIRTUALNETWORK ENABLER HOSTING AGREEMENT,"Elephant Talk Communication Holding AG (""ELEPHANT TALK""); T-Mobile Netherlands B.V. (""T-Mobile"")(""Party"" and together as ""Parties"")",,,,Yes,True,True,True,True,"Elephant Talk Communication Holding AG (""ELEPHANT TALK"")"," T-Mobile Netherlands B.V. (""T-Mobile"")(""Party"" and together as ""Parties"")","{""nodes"": [{""id"": 20, ""name"": ""PareteumCorp_20081001""}, {""id"": 29, ""name"": ""AtnInternationalInc_20191108""}, {""id"": 337, ""name"": ""TICKETSCOMINC_06""}, {""id"": 89, ""name"": ""IbioInc_20200313""}, {""id"": 323, ""name"": ""GWG HOLDINGS, INC. - ORDERLY MARKETING AGREEMENT.PDF""}, {""id"": 231, ""name"": ""ADAPTIMMUNETHERAPEUTICSPLC_04""}, {""id"": 302, ""name"": ""CORIOINC_07""}], ""links"": [{""source"": 302, ""target"": 323}, {""source"": 89, ""target"": 323}, {""source"": 89, ""target"": 337}, {""source"": 302, ""target"": 89}, {""source"": 20, ""target"": 231}]}"
VitalibisInc_20180316,California,38.2969,-76.4949,True,2018-03-14,SERVICES AND HOSTING AGREEMENT,"VITALIBIS INC (""Licensee""); VOTOCAST, Inc. (""VOTOCAST"")",3/14/2019,Successive 1 year,180 days,Yes,False,False,False,True,"VITALIBIS INC (""Licensee"")"," VOTOCAST, Inc. (""VOTOCAST"")","{""nodes"": [{""id"": 21, ""name"": ""VitalibisInc_20180316""}, {""id"": 320, ""name"": ""VARIABLESEPARATEACCOUNT_04""}, {""id"": 299, ""name"": ""BEYONDCOMCORP_08""}, {""id"": 38, ""name"": ""FerroglobePlc_20150624""}, {""id"": 186, ""name"": ""DYNAMEXINC_06""}, {""id"": 185, ""name"": ""ATMOSENERGYCORP_11""}, {""id"": 13, ""name"": ""FuseMedicalInc_20190321""}], ""links"": [{""source"": 13, ""target"": 320}, {""source"": 13, ""target"": 299}, {""source"": 320, ""target"": 21}, {""source"": 299, ""target"": 13}, {""source"": 38, ""target"": 13}, {""source"": 21, ""target"": 13}, {""source"": 186, ""target"": 299}, {""source"": 186, ""target"": 13}]}"
QuantumGroupIncFl_20090120,New York,40.6943,-73.9249,True,2008-12-02,e-business Hosting Agreement,"International Business Machines Corporation (""IBM”); The Quantum Group Inc. (""Customer"")",12/3/2011,,,Yes,False,True,True,True,"International Business Machines Corporation (""IBM”)"," The Quantum Group Inc. (""Customer"")","{""nodes"": [{""id"": 22, ""name"": ""QuantumGroupIncFl_20090120""}, {""id"": 265, ""name"": ""GSITECHNOLOGYINC_11""}, {""id"": 338, ""name"": ""VNUE,INC_07""}, {""id"": 200, ""name"": ""PLAYAHOTELS&RESORTSNV_03""}, {""id"": 205, ""name"": ""MJBIOTECH,INC_12""}, {""id"": 58, ""name"": ""RangeResourcesLouisianaInc_20150417""}, {""id"": 158, ""name"": ""N2KINC_10""}], ""links"": [{""source"": 158, ""target"": 22}, {""source"": 338, ""target"": 200}, {""source"": 265, ""target"": 58}, {""source"": 58, ""target"": 338}, {""source"": 200, ""target"": 58}]}"
CerenceInc_20191002,Delaware,40.2866,-83.0747,True,2019-09-30,"INTELLECTUAL PROPERTY AGREEMENT, d","NUANCE COMMUNICATIONS, INC (""Nuance""); CERENCE INC. (""SpinCo"")",,,,Yes,True,True,True,True,"NUANCE COMMUNICATIONS, INC (""Nuance"")"," CERENCE INC. (""SpinCo"")","{""nodes"": [{""id"": 23, ""name"": ""CerenceInc_20191002""}, {""id"": 15, ""name"": ""ImineCorp_20180725""}, {""id"": 86, ""name"": ""ClickstreamCorp_20200330""}, {""id"": 188, ""name"": ""CHAPARRALRESOURCESINC_03""}, {""id"": 182, ""name"": ""BELLICUMPHARMACEUTICALS,INC_05""}, {""id"": 321, ""name"": ""VERTEXENERGYINC_08""}, {""id"": 94, ""name"": ""RitterPharmaceuticalsInc_20200313""}], ""links"": [{""source"": 321, ""target"": 86}, {""source"": 86, ""target"": 23}, {""source"": 182, ""target"": 94}, {""source"": 94, ""target"": 182}, {""source"": 15, ""target"": 188}, {""source"": 15, ""target"": 182}, {""source"": 86, ""target"": 15}, {""source"": 182, ""target"": 23}, {""source"": 86, ""target"": 182}]}"
