Filename,Governing Law-Answer,lat,lng,isMissing
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,Netherlands,52.3667,4.8833,True
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,California,38.2969,-76.4949,False
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,New York,40.6943,-73.9249,True
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,Delaware,40.2866,-83.0747,False
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf,New York,40.6943,-73.9249,True
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement.pdf,New York,40.6943,-73.9249,True
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,Iowa,41.5725,-93.6105,True
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.6_11951677_EX-10.6_License Agreement.pdf,Ohio,40.5425,-80.0926,False
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,New York,40.6943,-73.9249,False
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,Maryland,39.3051,-76.6144,False
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.pdf,New York,40.6943,-73.9249,True
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.pdf,New York,40.6943,-73.9249,False
HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement.pdf,Nevada,37.8445,-94.3492,True
InmodeLtd_20190729_F-1A_EX-10.9_11743243_EX-10.9_Manufacturing Agreement.pdf,Israel,31.7833,35.2167,False
NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement.pdf,New York,40.6943,-73.9249,True
KitovPharmaLtd_20190326_20-F_EX-4.15_11584449_EX-4.15_Manufacturing Agreement.pdf,Israel,31.7833,35.2167,True
UpjohnInc_20200121_10-12G_EX-2.6_11948692_EX-2.6_Manufacturing Agreement_ Supply Agreement.pdf,Delaware,40.2866,-83.0747,True
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.pdf,Colorado,-22.8378,-51.9728,True
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.pdf,Indiana,40.622,-79.1552,True
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,Israel,31.7833,35.2167,False
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.pdf,Alabama,33.5277,-86.7987,False
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.pdf,New York,40.6943,-73.9249,False
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.pdf,Spain,40.4167,-3.7167,True
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.pdf,Taiwan,24.15,120.6667,False
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,New York,40.6943,-73.9249,True
VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.pdf,Nevada,37.8445,-94.3492,False
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,New York,40.6943,-73.9249,False
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,Virginia,47.5169,-92.5128,False
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,New York,40.6943,-73.9249,True
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,Ontario,34.0393,-117.6064,False
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf,California,38.2969,-76.4949,False
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.pdf,Ohio,40.5425,-80.0926,True
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.pdf,Kansas,37.6896,-97.3442,False
ReynoldsConsumerProductsInc_20200121_S-1A_EX-10.22_11948918_EX-10.22_Service Agreement.pdf,Illinois,41.8373,-87.6862,False
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement.pdf,New York,40.6943,-73.9249,False
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.pdf,California,38.2969,-76.4949,True
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement.pdf,Florida,-34.1,-56.2167,True
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf,United Kingdom,51.5072,-0.1275,False
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.pdf,Virginia,47.5169,-92.5128,False
LohaCompanyltd_20191209_F-1_EX-10.16_11917878_EX-10.16_Supply Agreement.pdf,China,27.3336,128.5736,False
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement.pdf,Illinois,41.8373,-87.6862,True
WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement.pdf,Texas,32.7936,-96.7662,True
HertzGroupRealtyTrustInc_20190920_S-11A_EX-10.8_11816941_EX-10.8_Trademark License Agreement.pdf,California,38.2969,-76.4949,True
ArconicRolledProductsCorp_20191217_10-12B_EX-2.7_11923804_EX-2.7_Trademark License Agreement.pdf,Delaware,40.2866,-83.0747,True
MorganStanleyDirectLendingFund_20191119_10-12GA_EX-10.5_11898508_EX-10.5_Trademark License Agreement.pdf,New York,40.6943,-73.9249,True
NmfSlfIInc_20200115_10-12GA_EX-10.5_11946987_EX-10.5_Trademark License Agreement.pdf,New York,40.6943,-73.9249,False
PalmerSquareCapitalBdcInc_20200116_10-12GA_EX-10.6_11949289_EX-10.6_Trademark License Agreement.pdf,New York,40.6943,-73.9249,True
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.pdf,Texas,32.7936,-96.7662,True
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement.pdf,Michigan,42.3834,-83.1024,True
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement.pdf,Texas,32.7936,-96.7662,False
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement.pdf,China,27.3336,128.5736,False
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.pdf,Washington,38.9047,-77.0163,True
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,California,38.2969,-76.4949,True
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf,California,38.2969,-76.4949,False
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf,Ontario,34.0393,-117.6064,True
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf,Delaware,40.2866,-83.0747,False
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,New York,40.6943,-73.9249,True
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,California,38.2969,-76.4949,False
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf,New York,40.6943,-73.9249,False
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,Pennsylvania,40.0077,-75.1339,True
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,Pennsylvania,40.0077,-75.1339,True
PaperexchangeComInc_20000322_S-1A_EX-10.4_5202103_EX-10.4_Co-Branding Agreement.pdf,Pennsylvania,40.0077,-75.1339,True
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,California,38.2969,-76.4949,True
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,New York,40.6943,-73.9249,False
TheglobeComInc_19990503_S-1A_EX-10.20_5416126_EX-10.20_Co-Branding Agreement.pdf,New York,40.6943,-73.9249,False
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,California,38.2969,-76.4949,False
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,Delaware,40.2866,-83.0747,False
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,Delaware,40.2866,-83.0747,True
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,Maryland,39.3051,-76.6144,False
SouthernStarEnergyInc_20051202_SB-2A_EX-9_801890_EX-9_Affiliate Agreement.pdf,Germany,52.5167,13.3833,False
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,Virginia,47.5169,-92.5128,False
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,New York,40.6943,-73.9249,True
UsioInc_20040428_SB-2_EX-10.11_1723988_EX-10.11_Affiliate Agreement 2.pdf,Texas,32.7936,-96.7662,True
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,Connecticut,41.1918,-73.1953,True
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,California,38.2969,-76.4949,False
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf,Illinois,41.8373,-87.6862,False
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,Florida,-34.1,-56.2167,False
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,Georgia,33.7627,-84.4224,False
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.pdf,Pennsylvania,40.0077,-75.1339,True
ArcaUsTreasuryFund_20200207_N-2_EX-99.K5_11971930_EX-99.K5_Development Agreement.pdf,New York,40.6943,-73.9249,False
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.pdf,California,38.2969,-76.4949,True
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement.pdf,Texas,32.7936,-96.7662,False
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.pdf,Florida,-34.1,-56.2167,False
ElPolloLocoHoldingsInc_20200306_10-K_EX-10.16_12041700_EX-10.16_Development Agreement.pdf,California,38.2969,-76.4949,True
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,Arizona,33.5722,-112.0891,True
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,Delaware,40.2866,-83.0747,True
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,Texas,32.7936,-96.7662,True
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,New York,40.6943,-73.9249,True
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,New York,40.6943,-73.9249,False
LiquidmetalTechnologiesInc_20200205_8-K_EX-10.1_11968198_EX-10.1_Development Agreement.pdf,Arizona,33.5722,-112.0891,True
NlsPharmaceuticsLtd_20200228_F-1_EX-10.14_12029046_EX-10.14_Development Agreement.pdf,Netherlands,52.3667,4.8833,True
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,Delaware,40.2866,-83.0747,False
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,New York,40.6943,-73.9249,False
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,Delaware,40.2866,-83.0747,True
VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.pdf,Hong Kong,22.3069,114.1831,True
ChinaRealEstateInformationCorp_20090929_F-1_EX-10.32_4771615_EX-10.32_Content License Agreement.pdf,China,27.3336,128.5736,False
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,California,38.2969,-76.4949,True
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,United States,40.6943,-73.9249,False
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,Florida,-34.1,-56.2167,False
IdeanomicsInc_20151124_8-K_EX-10.2_9354744_EX-10.2_Content License Agreement.pdf,New York,40.6943,-73.9249,True
MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,California,38.2969,-76.4949,False
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,California,38.2969,-76.4949,False
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,China,27.3336,128.5736,False
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf,New York,40.6943,-73.9249,True
XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,Hong Kong,22.3069,114.1831,False
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,New York,40.6943,-73.9249,False
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.pdf,Texas,32.7936,-96.7662,False
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Texas,32.7936,-96.7662,False
StaarSurgicalCompany_20180801_10-Q_EX-10.37_11289449_EX-10.37_Distributor Agreement.pdf,California,38.2969,-76.4949,False
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement.pdf,New York,40.6943,-73.9249,False
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.pdf,Delaware,40.2866,-83.0747,True
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.pdf,California,38.2969,-76.4949,True
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement1.pdf,China,27.3336,128.5736,True
LejuHoldingsLtd_20140121_DRS (on F-1)_EX-10.26_8473102_EX-10.26_Content License Agreement2.pdf,China,27.3336,128.5736,True
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement.pdf,Delaware,40.2866,-83.0747,True
PfHospitalityGroupInc_20150923_10-12G_EX-10.1_9266710_EX-10.1_Franchise Agreement1.pdf,Florida,-34.1,-56.2167,False
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1.pdf,Illinois,41.8373,-87.6862,False
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.pdf,New York,40.6943,-73.9249,False
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement2.pdf,California,38.2969,-76.4949,True
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.pdf,California,38.2969,-76.4949,True
SLINGERBAGINC_05_27_2020-EX-10.7-CONSULTING AGREEMENT.PDF,New York,40.6943,-73.9249,False
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF",Texas,32.7936,-96.7662,True
SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT.PDF,New York,40.6943,-73.9249,True
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.PDF,Florida,-34.1,-56.2167,False
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..PDF,Canada,43.7417,-79.3733,True
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.PDF",Virginia,47.5169,-92.5128,True
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF",California,38.2969,-76.4949,False
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF",California,38.2969,-76.4949,True
PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT.PDF,Massachusetts,42.3188,-71.0846,True
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF",Canada,43.7417,-79.3733,True
MRSFIELDSORIGINALCOOKIESINC_01_29_1998-EX-10-FRANCHISE AGREEMENT.PDF,Pennsylvania,40.0077,-75.1339,False
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).PDF",California,38.2969,-76.4949,False
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.PDF,Florida,-34.1,-56.2167,False
WEBHELPCOMINC_03_22_2000-EX-10.8-HOSTING AGREEMENT.PDF,California,38.2969,-76.4949,True
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.PDF,New York,40.6943,-73.9249,False
REGANHOLDINGCORP_03_31_2008-EX-10-LICENSE AND HOSTING AGREEMENT.PDF,Georgia,33.7627,-84.4224,False
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.PDF,Delaware,40.2866,-83.0747,True
"ATHENSBANCSHARESCORP_11_02_2009-EX-1.2-AGENCY AGREEMENT , 2009.PDF",New York,40.6943,-73.9249,True
"XACCT Technologies, Inc.SUPPORT AND MAINTENANCE AGREEMENT.PDF",California,38.2969,-76.4949,False
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement.PDF,New York,40.6943,-73.9249,True
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.PDF,Israel,31.7833,35.2167,True
AULAMERICANUNITTRUST_04_24_2020-EX-99.8.77-SERVICING AGREEMENT.PDF,Delaware,40.2866,-83.0747,False
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.PDF,New York,40.6943,-73.9249,True
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF,New York,40.6943,-73.9249,True
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.PDF",Connecticut,41.1918,-73.1953,True
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.PDF,Arizona,33.5722,-112.0891,True
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT.PDF,Massachusetts,42.3188,-71.0846,False
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT.PDF,New York,40.6943,-73.9249,False
TALCOTTRESOLUTIONLIFEINSURANCECO-SEPARATEACCOUNTTWELVE_04_30_2020-EX-99.8(L)-SERVICE AGREEMENT.PDF,Ohio,40.5425,-80.0926,False
TRANSMONTAIGNEPARTNERSLLC_03_13_2020-EX-10.9-SERVICES AGREEMENT.PDF,Colorado,-22.8378,-51.9728,False
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT.PDF,United Kingdom,51.5072,-0.1275,False
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.PDF,United Kingdom,51.5072,-0.1275,True
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.PDF,Massachusetts,42.3188,-71.0846,True
RISEEDUCATIONCAYMANLTD_04_17_2020-EX-4.23-SERVICE AGREEMENT.PDF,Beijing,39.904,116.4075,True
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.PDF,India,28.6667,77.2167,True
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.PDF",United Kingdom,51.5072,-0.1275,False
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.PDF,Massachusetts,42.3188,-71.0846,True
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.PDF",Texas,32.7936,-96.7662,False
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.PDF",Arizona,33.5722,-112.0891,True
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.PDF,Texas,32.7936,-96.7662,True
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.PDF",New York,40.6943,-73.9249,True
LOOKSMARTLTD_07_20_2012-EX-99.(D)(I)-SPONSORSHIP AGREEMENT.PDF,New York,40.6943,-73.9249,False
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT.PDF,California,38.2969,-76.4949,True
VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT.PDF,California,38.2969,-76.4949,True
XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT.PDF,Virginia,47.5169,-92.5128,False
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT.PDF",New York,40.6943,-73.9249,False
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT.PDF,Delaware,40.2866,-83.0747,True
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.PDF,New York,40.6943,-73.9249,True
IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT.PDF,New York,40.6943,-73.9249,True
LOGANSROADHOUSEINC_03_27_1998-EX-10.17-SPONSORSHIP AGREEMENT.PDF,Tennessee,36.1715,-86.7843,False
MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT.PDF,Washington,38.9047,-77.0163,True
HYDRONTECHNOLOGIESINC_03_31_1997-EX-10.47-SPONSORSHIP AGREEMENT.PDF,Florida,-34.1,-56.2167,False
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT.PDF,New York,40.6943,-73.9249,False
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT.PDF,California,38.2969,-76.4949,True
ASPIRITYHOLDINGSLLC_05_07_2012-EX-10.6-OUTSOURCING AGREEMENT.PDF,Minnesota,44.9635,-93.2678,True
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.PDF,Oklahoma,35.4676,-97.5136,True
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.PDF,New Jersey,40.2236,-74.7641,False
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.PDF,Papua New Guinea,-9.4789,147.1494,True
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.PDF,Israel,31.7833,35.2167,False
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT.PDF,Florida,-34.1,-56.2167,False
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT.PDF,Wisconsin,43.0642,-87.9673,True
