Filename,Governing Law-Answer,lat,lng,isMissing,AgreementDate
GentechHoldingsInc_20190808_1-A_EX1A-6 MAT CTRCT_11776814_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Florida,-34.1,-56.2167,False,2019-08-01
ImineCorp_20180725_S-1_EX-10.5_11275970_EX-10.5_Distributor Agreement.pdf,Indiana,40.622,-79.1552,True,2018-07-19
WaterNowInc_20191120_10-Q_EX-10.12_11900227_EX-10.12_Distributor Agreement.pdf,Texas,32.7936,-96.7662,True,2019-11-12
EcoScienceSolutionsInc_20171117_8-K_EX-10.1_10956472_EX-10.1_Endorsement Agreement.pdf,Michigan,42.3834,-83.1024,False,2017-11-14
NakedBrandGroupInc_20150731_POS AM (on S-1)_EX-10.75_9196027_EX-10.75_Endorsement Agreement.pdf,New York,40.6943,-73.9249,False,2015-06-15
SimplicityEsportsGamingCompany_20181130_8-K_EX-10.1_11444071_EX-10.1_Franchise Agreement.pdf,New York,40.6943,-73.9249,False,2018-11-20
PareteumCorp_20081001_8-K_EX-99.1_2654808_EX-99.1_Hosting Agreement.pdf,Netherlands,52.3667,4.8833,True,2008-09-18
VitalibisInc_20180316_8-K_EX-10.2_11100168_EX-10.2_Hosting Agreement.pdf,California,38.2969,-76.4949,False,2018-03-14
QuantumGroupIncFl_20090120_8-K_EX-99.2_3672910_EX-99.2_Hosting Agreement.pdf,New York,40.6943,-73.9249,True,2008-12-02
CerenceInc_20191002_8-K_EX-10.4_11827494_EX-10.4_Intellectual Property Agreement.pdf,Delaware,40.2866,-83.0747,False,2019-09-30
GarrettMotionInc_20181001_8-K_EX-2.4_11364532_EX-2.4_Intellectual Property Agreement.pdf,New York,40.6943,-73.9249,True,2018-09-27
RareElementResourcesLtd_20171019_SC 13D_EX-99.4_10897534_EX-99.4_Intellectual Property Agreement.pdf,New York,40.6943,-73.9249,True,2017-10-02
ArtaraTherapeuticsInc_20200110_8-K_EX-10.5_11943350_EX-10.5_License Agreement.pdf,Iowa,41.5725,-93.6105,True,2018-11-28
CytodynInc_20200109_10-Q_EX-10.5_11941634_EX-10.5_License Agreement.pdf,New York,40.6943,-73.9249,False,2019-12-17
VirtuosoSurgicalInc_20191227_1-A_EX1A-6 MAT CTRCT_11933379_EX1A-6 MAT CTRCT_License Agreement.pdf,Maryland,39.3051,-76.6144,False,2016-05-03
AtnInternationalInc_20191108_10-Q_EX-10.1_11878541_EX-10.1_Maintenance Agreement.pdf,New York,40.6943,-73.9249,True,2019-07-31
BloomEnergyCorp_20180321_DRSA (on S-1)_EX-10_11240356_EX-10_Maintenance Agreement.pdf,New York,40.6943,-73.9249,False,2012-04-13
HerImports_20161018_8-KA_EX-10.14_9765707_EX-10.14_Maintenance Agreement.pdf,Nevada,37.8445,-94.3492,True,2016-10-13
NeuroboPharmaceuticalsInc_20190903_S-4_EX-10.36_11802165_EX-10.36_Manufacturing Agreement_ Supply Agreement.pdf,New York,40.6943,-73.9249,True,2018-09-28
CcRealEstateIncomeFundadv_20181205_POS 8C_EX-99.(H)(3)_11447739_EX-99.(H)(3)_Marketing Agreement.pdf,Colorado,-22.8378,-51.9728,True,2018-08-24
EmmisCommunicationsCorp_20191125_8-K_EX-10.6_11906433_EX-10.6_Marketing Agreement.pdf,Indiana,40.622,-79.1552,True,2019-11-25
TodosMedicalLtd_20190328_20-F_EX-4.10_11587157_EX-4.10_Marketing Agreement_ Reseller Agreement.pdf,Israel,31.7833,35.2167,False,2018-12-20
VertexEnergyInc_20200113_8-K_EX-10.1_11943624_EX-10.1_Marketing Agreement.pdf,Alabama,33.5277,-86.7987,False,2020-01-10
XpresspaGroupInc_20190401_10-K_EX-10.28_11599457_EX-10.28_Marketing Agreement.pdf,New York,40.6943,-73.9249,False,2018-11-12
FerroglobePlc_20150624_F-4A_EX-10.20_9154746_EX-10.20_Outsourcing Agreement.pdf,Spain,40.4167,-3.7167,True,2009-01-01
ImperialGardenResortInc_20161028_DRS (on F-1)_EX-10.13_9963189_EX-10.13_Outsourcing Agreement.pdf,Taiwan,24.15,120.6667,False,2015-10-29
ExactSciencesCorp_20180822_8-K_EX-10.1_11331629_EX-10.1_Promotion Agreement.pdf,New York,40.6943,-73.9249,True,2018-08-21
VnueInc_20150914_8-K_EX-10.1_9259571_EX-10.1_Promotion Agreement.pdf,Nevada,37.8445,-94.3492,False,2015-09-10
SigaTechnologiesInc_20190603_8-K_EX-10.1_11695818_EX-10.1_Promotion Agreement.pdf,New York,40.6943,-73.9249,False,2019-05-31
BravatekSolutionsInc_20170418_8-K_EX-10.1_10205739_EX-10.1_Reseller Agreement.pdf,Virginia,47.5169,-92.5128,False,2017-04-07
HealthcareIntegratedTechnologiesInc_20190812_8-K_EX-10.1_11776966_EX-10.1_Reseller Agreement.pdf,New York,40.6943,-73.9249,True,2019-07-31
EhaveInc_20190515_20-F_EX-4.44_11678816_EX-4.44_License Agreement_ Reseller Agreement.pdf,Ontario,34.0393,-117.6064,False,2018-10-30
IpassInc_20181203_8-K_EX-99.1_11445874_EX-99.1_Reseller Agreement.pdf,California,38.2969,-76.4949,False,2018-04-25
GpaqAcquisitionHoldingsInc_20200123_S-4A_EX-10.8_11951679_EX-10.8_Service Agreement.pdf,Ohio,40.5425,-80.0926,True,2018-12-19
IntegrityFunds_20200121_485BPOS_EX-99.E UNDR CONTR_11948727_EX-99.E UNDR CONTR_Service Agreement.pdf,Kansas,37.6896,-97.3442,False,2020-01-18
VerizonAbsLlc_20200123_8-K_EX-10.4_11952335_EX-10.4_Service Agreement.pdf,New York,40.6943,-73.9249,False,2020-01-29
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.34_11788308_EX-10.34_Sponsorship Agreement.pdf,California,38.2969,-76.4949,True,2019-02-01
EcoScienceSolutionsInc_20180406_8-K_EX-10.1_11135398_EX-10.1_Sponsorship Agreement.pdf,Florida,-34.1,-56.2167,True,2018-04-01
AgapeAtpCorp_20191202_10-KA_EX-10.1_11911128_EX-10.1_Supply Agreement.pdf,United Kingdom,51.5072,-0.1275,False,2018-01-15
FreezeTagInc_20180411_8-K_EX-10.1_11139603_EX-10.1_Sponsorship Agreement.pdf,Virginia,47.5169,-92.5128,False,2018-03-22
ReynoldsConsumerProductsInc_20191115_S-1_EX-10.18_11896469_EX-10.18_Supply Agreement.pdf,Illinois,41.8373,-87.6862,True,2019-11-01
WestPharmaceuticalServicesInc_20200116_8-K_EX-10.1_11947529_EX-10.1_Supply Agreement.pdf,Texas,32.7936,-96.7662,True,2020-01-10
PenntexMidstreamPartnersLp_20150416_S-1A_EX-10.4_9042833_EX-10.4_Transportation Agreement.pdf,Texas,32.7936,-96.7662,True,2015-04-14
TcPipelinesLp_20160226_10-K_EX-99.12_9454048_EX-99.12_Transportation Agreement.pdf,Michigan,42.3834,-83.1024,True,2015-12-14
RangeResourcesLouisianaInc_20150417_8-K_EX-10.5_9045501_EX-10.5_Transportation Agreement.pdf,Texas,32.7936,-96.7662,False,2015-04-14
ZtoExpressCaymanInc_20160930_F-1_EX-10.10_9752871_EX-10.10_Transportation Agreement.pdf,China,27.3336,128.5736,False,2014-12-22
AudibleInc_20001113_10-Q_EX-10.32_2599586_EX-10.32_Co-Branding Agreement_ Marketing Agreement_ Investment Distribution Agreement.pdf,Washington,38.9047,-77.0163,True,2000-01-30
2ThemartComInc_19990826_10-12G_EX-10.10_6700288_EX-10.10_Co-Branding Agreement_ Agency Agreement.pdf,California,38.2969,-76.4949,True,1999-06-21
EmbarkComInc_19991008_S-1A_EX-10.10_6487661_EX-10.10_Co-Branding Agreement.pdf,California,38.2969,-76.4949,False,1999-06-08
HealthcentralCom_19991108_S-1A_EX-10.27_6623292_EX-10.27_Co-Branding Agreement.pdf,Ontario,34.0393,-117.6064,True,1999-06-30
ImpresseCorp_20000322_S-1A_EX-10.11_5199234_EX-10.11_Co-Branding Agreement.pdf,Delaware,40.2866,-83.0747,False,2000-03-03
EbixInc_20010515_10-Q_EX-10.3_4049767_EX-10.3_Co-Branding Agreement.pdf,New York,40.6943,-73.9249,True,2001-01-19
InvendaCorp_20000828_S-1A_EX-10.2_2588206_EX-10.2_Co-Branding Agreement.pdf,California,38.2969,-76.4949,False,2000-02-16
MphaseTechnologiesInc_20030911_10-K_EX-10.15_1560667_EX-10.15_Co-Branding Agreement.pdf,New York,40.6943,-73.9249,False,2003-01-21
LeadersonlineInc_20000427_S-1A_EX-10.8_4991089_EX-10.8_Co-Branding Agreement.pdf,Pennsylvania,40.0077,-75.1339,True,2000-03-15
NeoformaInc_19991202_S-1A_EX-10.26_5224521_EX-10.26_Co-Branding Agreement.pdf,Pennsylvania,40.0077,-75.1339,True,1999-11-19
RaeSystemsInc_20001114_10-Q_EX-10.57_2631790_EX-10.57_Co-Branding Agreement.pdf,California,38.2969,-76.4949,True,1999-11-05
RandWorldwideInc_20010402_8-KA_EX-10.2_2102464_EX-10.2_Co-Branding Agreement.pdf,New York,40.6943,-73.9249,False,2000-11-14
StampscomInc_20001114_10-Q_EX-10.47_2631630_EX-10.47_Co-Branding Agreement.pdf,California,38.2969,-76.4949,False,1999-04-27
CreditcardscomInc_20070810_S-1_EX-10.33_362297_EX-10.33_Affiliate Agreement.pdf,Delaware,40.2866,-83.0747,False,2007-04-06
DigitalCinemaDestinationsCorp_20111220_S-1_EX-10.10_7346719_EX-10.10_Affiliate Agreement.pdf,Delaware,40.2866,-83.0747,True,2011-03-14
LinkPlusCorp_20050802_8-K_EX-10_3240252_EX-10_Affiliate Agreement.pdf,Maryland,39.3051,-76.6144,False,2005-07-15
SteelVaultCorp_20081224_10-K_EX-10.16_3074935_EX-10.16_Affiliate Agreement.pdf,Virginia,47.5169,-92.5128,False,2008-10-01
TubeMediaCorp_20060310_8-K_EX-10.1_513921_EX-10.1_Affiliate Agreement.pdf,New York,40.6943,-73.9249,True,2006-03-06
BerkshireHillsBancorpInc_20120809_10-Q_EX-10.16_7708169_EX-10.16_Endorsement Agreement.pdf,Connecticut,41.1918,-73.1953,True,2012-05-17
GridironBionutrientsInc_20171206_8-K_EX-10.1_10972555_EX-10.1_Endorsement Agreement.pdf,California,38.2969,-76.4949,False,2017-10-30
LifewayFoodsInc_20160316_10-K_EX-10.24_9489766_EX-10.24_Endorsement Agreement.pdf,Illinois,41.8373,-87.6862,False,2016-03-14
PerformanceSportsBrandsInc_20110909_S-1_EX-10.10_7220214_EX-10.10_Endorsement Agreement.pdf,Florida,-34.1,-56.2167,False,2011-02-21
PharmagenInc_20120803_8-KA_EX-10.1_7693204_EX-10.1_Endorsement Agreement.pdf,Georgia,33.7627,-84.4224,False,2012-02-20
PrudentialBancorpInc_20170606_8-K_EX-10.4_10474434_EX-10.4_Endorsement Agreement.pdf,Pennsylvania,40.0077,-75.1339,True,2017-06-01
AimmuneTherapeuticsInc_20200205_8-K_EX-10.3_11967170_EX-10.3_Development Agreement.pdf,California,38.2969,-76.4949,True,2020-02-04
CnsPharmaceuticalsInc_20200326_8-K_EX-10.1_12079626_EX-10.1_Development Agreement.pdf,Texas,32.7936,-96.7662,False,2020-03-20
ClickstreamCorp_20200330_1-A_EX1A-6 MAT CTRCT_12089935_EX1A-6 MAT CTRCT_Development Agreement.pdf,Florida,-34.1,-56.2167,False,2020-03-20
EmeraldHealthBioceuticalsInc_20200218_1-A_EX1A-6 MAT CTRCT_11987205_EX1A-6 MAT CTRCT_Development Agreement.pdf,Arizona,33.5722,-112.0891,True,2016-09-01
HarpoonTherapeuticsInc_20200312_10-K_EX-10.18_12051356_EX-10.18_Development Agreement.PDF,Delaware,40.2866,-83.0747,True,2019-11-20
IbioInc_20200313_8-K_EX-10.1_12052678_EX-10.1_Development Agreement.pdf,Texas,32.7936,-96.7662,True,2018-08-08
HfEnterprisesInc_20191223_S-1_EX-10.22_11931299_EX-10.22_Development Agreement.pdf,New York,40.6943,-73.9249,True,2018-03-01
LegacyEducationAllianceInc_20200330_10-K_EX-10.18_12090678_EX-10.18_Development Agreement.pdf,New York,40.6943,-73.9249,False,2019-12-23
PhasebioPharmaceuticalsInc_20200330_10-K_EX-10.21_12086810_EX-10.21_Development Agreement.pdf,Delaware,40.2866,-83.0747,False,2020-01-09
RevolutionMedicinesInc_20200117_S-1_EX-10.1_11948417_EX-10.1_Development Agreement.pdf,New York,40.6943,-73.9249,False,2018-06-08
RitterPharmaceuticalsInc_20200313_S-4A_EX-10.54_12055220_EX-10.54_Development Agreement.pdf,Delaware,40.2866,-83.0747,True,2016-05-01
VgrabCommunicationsInc_20200129_10-K_EX-10.33_11958828_EX-10.33_Development Agreement.pdf,Hong Kong,22.3069,114.1831,True,2019-03-05
AlliedEsportsEntertainmentInc_20190815_8-K_EX-10.19_11788293_EX-10.19_Content License Agreement.pdf,California,38.2969,-76.4949,True,2018-02-01
DataCallTechnologies_20060918_SB-2A_EX-10.9_944510_EX-10.9_Content License Agreement.pdf,United States,40.6943,-73.9249,False,2006-03-24
GlobalTechnologiesGroupInc_20050928_10KSB_EX-10.9_4148808_EX-10.9_Content License Agreement.pdf,Florida,-34.1,-56.2167,False,2005-07-13
MidwestEnergyEmissionsCorp_20080604_8-K_EX-10.2_3093976_EX-10.2_Content License Agreement.pdf,California,38.2969,-76.4949,False,2008-06-02
PacificapEntertainmentHoldingsInc_20051115_8-KA_EX-1.01_4300894_EX-1.01_Content License Agreement.pdf,California,38.2969,-76.4949,False,2005-11-03
PhoenixNewMediaLtd_20110421_F-1_EX-10.17_6958322_EX-10.17_Content License Agreement.pdf,China,27.3336,128.5736,False,2009-11-24
RemarkHoldingsInc_20081114_10-Q_EX-10.24_2895649_EX-10.24_Content License Agreement.pdf,New York,40.6943,-73.9249,True,2008-09-17
XinhuaSportsEntertainmentLtd_20070221_F-1_EX-99.4_645553_EX-99.4_Content License Agreement.pdf,Hong Kong,22.3069,114.1831,False,2001-12-15
WebmdHealthCorp_20050908_S-1A_EX-10.7_1027007_EX-10.7_Content License Agreement.pdf,New York,40.6943,-73.9249,False,2005-10-01
PrecheckHealthServicesInc_20200320_8-K_EX-99.2_12070169_EX-99.2_Distributor Agreement.pdf,Texas,32.7936,-96.7662,False,2020-03-19
SmartRxSystemsInc_20180914_1-A_EX1A-6 MAT CTRCT_11351705_EX1A-6 MAT CTRCT_Distributor Agreement.pdf,Texas,32.7936,-96.7662,False,2017-05-17
ZogenixInc_20190509_10-Q_EX-10.2_11663313_EX-10.2_Distributor Agreement.pdf,New York,40.6943,-73.9249,False,2019-03-18
ArmstrongFlooringInc_20190107_8-K_EX-10.2_11471795_EX-10.2_Intellectual Property Agreement.pdf,Delaware,40.2866,-83.0747,True,2018-12-31
GluMobileInc_20070319_S-1A_EX-10.09_436630_EX-10.09_Content License Agreement1.pdf,California,38.2969,-76.4949,True,2004-12-16
PapaJohnsInternationalInc_20190617_8-K_EX-10.1_11707365_EX-10.1_Endorsement Agreement.pdf,Delaware,40.2866,-83.0747,True,2019-03-15
PlayboyEnterprisesInc_20090220_10-QA_EX-10.2_4091580_EX-10.2_Content License Agreement_ Marketing Agreement_ Sales-Purchase Agreement1.pdf,Illinois,41.8373,-87.6862,False,2008-01-15
ScansourceInc_20190822_10-K_EX-10.38_11793958_EX-10.38_Distributor Agreement1.pdf,New York,40.6943,-73.9249,False,2007-01-22
BellringBrandsInc_20190920_S-1_EX-10.12_11817081_EX-10.12_Manufacturing Agreement1.pdf,California,38.2969,-76.4949,True,2017-07-01
"KIROMICBIOPHARMA,INC_05_11_2020-EX-10.23-CONSULTING AGREEMENT.PDF",Texas,32.7936,-96.7662,True,2018-07-20
SPHERE3DCORP_06_24_2020-EX-10.12-CONSULTING AGREEMENT.PDF,New York,40.6943,-73.9249,True,2020-06-01
GLOBALTECHNOLOGIESLTD_06_08_2020-EX-10.16-CONSULTING AGREEMENT.PDF,Florida,-34.1,-56.2167,False,2020-01-02
EMERALDHEALTHTHERAPEUTICSINC_06_10_2020-EX-4.5-CONSULTING AGREEMENT - DR. GAETANO MORELLO N.D. INC..PDF,Canada,43.7417,-79.3733,True,2019-01-10
"MEDALISTDIVERSIFIEDREIT,INC_05_18_2020-EX-10.1-CONSULTING AGREEMENT.PDF",Virginia,47.5169,-92.5128,True,2020-03-01
"DRIVENDELIVERIES,INC_05_22_2020-EX-10.4-CONSULTING AGREEMENT.PDF",California,38.2969,-76.4949,False,2019-05-01
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT.PDF",California,38.2969,-76.4949,True,2020-06-01
PANDIONTHERAPEUTICSHOLDCOLLC_05_22_2020-EX-10.17-CONSULTING AGREEMENT.PDF,Massachusetts,42.3188,-71.0846,True,2017-03-27
"CORALGOLDRESOURCES,LTD_05_28_2020-EX-4.1-CONSULTING AGREEMENT.PDF",Canada,43.7417,-79.3733,True,2020-02-01
"ADUROBIOTECH,INC_06_02_2020-EX-10.7-CONSULTING AGREEMENT(1).PDF",California,38.2969,-76.4949,False,2020-06-01
CENTRACKINTERNATIONALINC_10_29_1999-EX-10.3-WEB SITE HOSTING AGREEMENT.PDF,Florida,-34.1,-56.2167,False,1999-04-06
DYNTEKINC_07_30_1999-EX-10-ONLINE HOSTING AGREEMENT.PDF,New York,40.6943,-73.9249,False,1999-06-01
REGANHOLDINGCORP_03_31_2008-EX-10-LICENSE AND HOSTING AGREEMENT.PDF,Georgia,33.7627,-84.4224,False,2007-10-17
BONTONSTORESINC_04_20_2018-EX-99.3-AGENCY AGREEMENT.PDF,Delaware,40.2866,-83.0747,True,2018-04-18
WELLSFARGOMORTGAGEBACKEDSECURITIES2006-6TRUST_05_11_2006-EX-10.3-Yield Maintenance Agreement.PDF,New York,40.6943,-73.9249,True,2006-04-27
ABILITYINC_06_15_2020-EX-4.25-SERVICES AGREEMENT.PDF,Israel,31.7833,35.2167,True,2019-10-01
CUROGROUPHOLDINGSCORP_05_04_2020-EX-10.3-SERVICING AGREEMENT.PDF,New York,40.6943,-73.9249,True,2020-04-08
BLACKSTONEGSOLONG-SHORTCREDITINCOMEFUND_05_11_2020-EX-99.(K)(1)-SERVICE AGREEMENT.PDF,New York,40.6943,-73.9249,True,2011-01-26
"PAXMEDICA,INC_07_02_2020-EX-10.12-Master Service Agreement.PDF",Connecticut,41.1918,-73.1953,True,2008-05-25
MERITLIFEINSURANCECO_06_19_2020-EX-10.(XIV)-MASTER SERVICES AGREEMENT.PDF,Arizona,33.5722,-112.0891,True,2018-09-24
PFSFUNDS_06_26_2020-EX-99.H OTH MAT CONT-SERVICES AGREEMENT.PDF,Massachusetts,42.3188,-71.0846,False,2020-06-24
SCOUTCAMINC_05_12_2020-EX-10.22-SERVICES AGREEMENT.PDF,New York,40.6943,-73.9249,False,2019-04-01
TALCOTTRESOLUTIONLIFEINSURANCECO-SEPARATEACCOUNTTWELVE_04_30_2020-EX-99.8(L)-SERVICE AGREEMENT.PDF,Ohio,40.5425,-80.0926,False,2004-09-28
WPPPLC_04_30_2020-EX-4.28-SERVICE AGREEMENT.PDF,United Kingdom,51.5072,-0.1275,False,2019-10-01
BICYCLETHERAPEUTICSPLC_03_10_2020-EX-10.11-SERVICE AGREEMENT.PDF,United Kingdom,51.5072,-0.1275,True,2019-09-26
NYLIACVARIABLEANNUITYSEPARATEACCOUNTIII_04_10_2020-EX-99.8.KK-SERVICE AGREEMENT.PDF,Massachusetts,42.3188,-71.0846,True,1998-01-01
OPERALTD_04_30_2020-EX-4.14-SERVICE AGREEMENT.PDF,India,28.6667,77.2167,True,2019-04-01
"THERAVANCEBIOPHARMA,INC_05_08_2020-EX-10.2-SERVICE AGREEMENT.PDF",United Kingdom,51.5072,-0.1275,False,2020-04-01
DOMINIADVISORTRUST_02_18_2005-EX-99.(H)(2)-SPONSORSHIP AGREEMENT.PDF,Massachusetts,42.3188,-71.0846,True,2005-02-04
"CANOPETROLEUM,INC_12_13_2007-EX-10.1-Sponsorship Agreement.PDF",Texas,32.7936,-96.7662,False,2007-12-05
"HALITRON,INC_03_01_2005-EX-10.15-SPONSORSHIP AND DEVELOPMENT AGREEMENT.PDF",Arizona,33.5722,-112.0891,True,2004-08-06
GAINSCOINC_01_21_2010-EX-10.41-SPONSORSHIP AGREEMENT.PDF,Texas,32.7936,-96.7662,True,2010-01-01
"IPAYMENT,INC_05_14_2007-EX-10.1-SPONSORSHIP AGREEMENT.PDF",New York,40.6943,-73.9249,True,2007-01-29
LOOKSMARTLTD_07_20_2012-EX-99.(D)(I)-SPONSORSHIP AGREEMENT.PDF,New York,40.6943,-73.9249,False,2012-07-16
STAMPSCOMINC_06_24_1999-EX-10.18-SPONSORSHIP AGREEMENT.PDF,California,38.2969,-76.4949,True,1999-05-14
VIOLINMEMORYINC_12_12_2012-EX-10.14-SPONSORSHIP AGREEMENT.PDF,California,38.2969,-76.4949,True,2012-06-13
XYBERNAUTCORP_07_12_2002-EX-4-SPONSORSHIP AGREEMENT.PDF,Virginia,47.5169,-92.5128,False,2002-05-01
"CURAEGISTECHNOLOGIES,INC_05_26_2010-EX-1-CORPORATE SPONSORSHIP AGREEMENT.PDF",New York,40.6943,-73.9249,False,2010-05-18
DRKOOPCOMINC_04_21_1999-EX-10.28-SPONSORSHIP AGREEMENT.PDF,Delaware,40.2866,-83.0747,True,1999-03-11
GSVINC_05_15_1998-EX-10-SPONSORSHIP AGREEMENT.PDF,New York,40.6943,-73.9249,True,1998-03-31
IVILLAGEINC_03_17_1999-EX-10.16-SPONSORSHIP AGREEMENT.PDF,New York,40.6943,-73.9249,True,1998-12-18
LOGANSROADHOUSEINC_03_27_1998-EX-10.17-SPONSORSHIP AGREEMENT.PDF,Tennessee,36.1715,-86.7843,False,1998-02-24
MERCATAINC_03_09_2000-EX-10.21-SPONSORSHIP AGREEMENT.PDF,Washington,38.9047,-77.0163,True,1999-07-12
HYDRONTECHNOLOGIESINC_03_31_1997-EX-10.47-SPONSORSHIP AGREEMENT.PDF,Florida,-34.1,-56.2167,False,1997-01-01
N2KINC_10_16_1997-EX-10.16-SPONSORSHIP AGREEMENT.PDF,New York,40.6943,-73.9249,False,1997-09-23
VITAMINSHOPPECOMINC_09_13_1999-EX-10.26-SPONSORSHIP AGREEMENT.PDF,California,38.2969,-76.4949,True,1998-09-23
BNLFINANCIALCORP_03_30_2007-EX-10.8-OUTSOURCING AGREEMENT.PDF,Oklahoma,35.4676,-97.5136,True,2006-05-01
CCAINDUSTRIESINC_04_14_2014-EX-10.1-OUTSOURCING AGREEMENT.PDF,New Jersey,40.2236,-74.7641,False,2014-01-20
ELANDIAINTERNATIONALINC_04_25_2007-EX-10.21-Outsourcing Agreement.PDF,Papua New Guinea,-9.4789,147.1494,True,2004-06-16
NICELTD_06_26_2003-EX-4.5-OUTSOURCING AGREEMENT.PDF,Israel,31.7833,35.2167,False,2002-01-21
SYKESHEALTHPLANSERVICESINC_04_24_1998-EX-10.14-OUTSOURCING AGREEMENT.PDF,Florida,-34.1,-56.2167,False,1998-01-01
TRICITYBANKSHARESCORP_05_15_1998-EX-10-OUTSOURCING AGREEMENT.PDF,Wisconsin,43.0642,-87.9673,True,1998-02-16
OFGBANCORP_03_28_2007-EX-10.23-OUTSOURCING AGREEMENT.PDF,New York,40.6943,-73.9249,False,2007-01-26
DRAGONSYSTEMSINC_01_08_1999-EX-10.17-OUTSOURCING AGREEMENT.PDF,Netherlands,52.3667,4.8833,False,1998-01-19
HUBEIMINKANGPHARMACEUTICALLTD_09_19_2006-EX-10.1-OUTSOURCING AGREEMENT.PDF,Nevada,37.8445,-94.3492,False,2006-06-01
MANUFACTURERSSERVICESLTD_06_05_2000-EX-10.14-OUTSOURCING AGREEMENT.PDF,New York,40.6943,-73.9249,False,1998-05-05
NEXSTARFINANCEHOLDINGSINC_03_27_2002-EX-10.26-OUTSOURCING AGREEMENT.PDF,Maryland,39.3051,-76.6144,False,2001-11-28
ASIANDRAGONGROUPINC_08_11_2005-EX-10.5-Reseller Agreement.PDF,Canada,43.7417,-79.3733,False,2004-06-01
MTITECHNOLOGYCORP_11_16_2004-EX-10.102-Reseller Agreement Premier Addendum.PDF,Colorado,-22.8378,-51.9728,False,2004-09-29
"OMINTO,INC_03_29_2004-EX-10-RESELLER AGREEMENT.PDF",Florida,-34.1,-56.2167,True,2004-03-19
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement2.pdf,New York,40.6943,-73.9249,True,2016-01-06
AzulSa_20170303_F-1A_EX-10.3_9943903_EX-10.3_Maintenance Agreement1.pdf,New York,40.6943,-73.9249,False,2015-03-09
CardlyticsInc_20180112_S-1_EX-10.16_11002987_EX-10.16_Maintenance Agreement1.pdf,North Carolina,35.208,-80.8304,True,2010-11-04
OLDAPIWIND-DOWNLTD_01_08_2016-EX-1.3-AGENCY AGREEMENT1.pdf,Ontario,34.0393,-117.6064,False,2015-05-21
MEDIWOUNDLTD_01_15_2014-EX-10.6-SUPPLY AGREEMENT.PDF,New York,40.6943,-73.9249,True,2001-01-11
SEASPINEHOLDINGSCORP_10_10_2018-EX-10.1-SUPPLY AGREEMENT.PDF,New Jersey,40.2236,-74.7641,False,2013-05-15
PROFOUNDMEDICALCORP_08_29_2019-EX-4.5-SUPPLY AGREEMENT.PDF,Netherlands,52.3667,4.8833,False,2017-07-31
"GRIDIRONBIONUTRIENTS,INC_02_05_2020-EX-10.3-SUPPLY AGREEMENT.PDF",Colorado,-22.8378,-51.9728,True,2020-01-27
"BELLICUMPHARMACEUTICALS,INC_05_07_2019-EX-10.1-Supply Agreement.PDF",New York,40.6943,-73.9249,False,2019-03-27
